"Journal Data Filtered By:  Selected Categories: HEALTH CARE SCIENCES & SERVICES Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Rank
"Journal of Healthcare Informatics Research","J HEALTHC INFORM RES","SPRINGERNATURE","2509-4971","2509-498X","HEALTH CARE SCIENCES & SERVICES","ESCI","919","4.6"," 33/194 ",
"Informatics for Health & Social Care","INFORM HEALTH SOC CA","TAYLOR & FRANCIS INC","1753-8157","1753-8165","HEALTH CARE SCIENCES & SERVICES","SCIE","905","1.7"," 141/194 ",
"Annali di Igiene Medicina Preventiva e di Comunita","ANN IG MED PREV COMU","MATTIOLI 1885","1120-9135","1120-9135","HEALTH CARE SCIENCES & SERVICES","ESCI","878","2.4"," 97/194 ",
"Health Services and Outcomes Research Methodology","HEALTH SERV OUTCOME","SPRINGER","1387-3741","1572-9400","HEALTH CARE SCIENCES & SERVICES","ESCI","838","2.2"," 111/194 ",
"PEC Innovation","PEC INNOV","ELSEVIER","N/A","2772-6282","HEALTH CARE SCIENCES & SERVICES","ESCI","794","2.1"," 117/194 ",
"JOURNAL OF THE HISTORY OF MEDICINE AND ALLIED SCIENCES","J HIST MED ALL SCI","OXFORD UNIV PRESS INC","0022-5045","1468-4373","HEALTH CARE SCIENCES & SERVICES","SCIE","791","0.4"," 185/194 ",
"JMIR AI","JMIR AI","JMIR PUBLICATIONS, INC","N/A","2817-1705","HEALTH CARE SCIENCES & SERVICES","ESCI","789","6.1"," 21/194 ",
"JMIR Diabetes","JMIR DIABETES","JMIR PUBLICATIONS, INC","2371-4379","2371-4379","HEALTH CARE SCIENCES & SERVICES","ESCI","778","2.9"," 78/194 ",
"JBI Evidence Implementation","JBI EVID IMPLEMENT","LIPPINCOTT WILLIAMS & WILKINS","2691-3321","2691-3321","HEALTH CARE SCIENCES & SERVICES","SCIE","777","2"," 124/194 ",
"Journal for Healthcare Quality","J HEALTHC QUAL","LIPPINCOTT WILLIAMS & WILKINS","1062-2551","1945-1474","HEALTH CARE SCIENCES & SERVICES","SCIE","762","1.1"," 171/194 ",
"Palliative Care & Social Practice","PALLIAT CARE SOC PR","SAGE PUBLICATIONS INC","2632-3524","2632-3524","HEALTH CARE SCIENCES & SERVICES","ESCI","753","2.7"," 82/194 ",
"Mayo Clinic Proceedings: Digital Health","MAYO CLIN P DIGIT H","ELSEVIER","N/A","2949-7612","HEALTH CARE SCIENCES & SERVICES","ESCI","745","5"," 25/194 ",
"Implementation Research and Practice","IMPLEMENT RES PRACT","SAGE PUBLICATIONS INC","2633-4895","2633-4895","HEALTH CARE SCIENCES & SERVICES","ESCI","733","2.2"," 111/194 ",
"BMJ Leader","BMJ LEAD","BMJ PUBLISHING GROUP","N/A","2398-631X","HEALTH CARE SCIENCES & SERVICES","ESCI","718","2.4"," 97/194 ",
"JOURNAL OF AMBULATORY CARE MANAGEMENT","J AMBUL CARE MANAG","LIPPINCOTT WILLIAMS & WILKINS","0148-9917","1550-3267","HEALTH CARE SCIENCES & SERVICES","ESCI","670","1.3"," 162/194 ",
"Journal of Health Research","J HEALTH RES","COLL PUBLIC HEALTH SCIENCES, CHULALONGKORN UNIV","0857-4421","2586-940X","HEALTH CARE SCIENCES & SERVICES","ESCI","670","0.4"," 185/194 ",
"Quality Management in Health Care","QUAL MANAG HEALTH CA","LIPPINCOTT WILLIAMS & WILKINS","1063-8628","1550-5154","HEALTH CARE SCIENCES & SERVICES","SCIE","659","1.4"," 153/194 ",
"Drug Healthcare and Patient Safety","DRUG HEALTHC PATIENT","DOVE MEDICAL PRESS LTD","1179-1365","1179-1365","HEALTH CARE SCIENCES & SERVICES","ESCI","621","4.3"," 38/194 ",
"MDM Policy & Practice","MDM POLICY PRACT","SAGE PUBLICATIONS INC","N/A","2381-4683","HEALTH CARE SCIENCES & SERVICES","ESCI","577","1.9"," 128/194 ",
"Operations Research for Health Care","OPER RES HEALTH CARE","ELSEVIER","2211-6923","2211-6923","HEALTH CARE SCIENCES & SERVICES","ESCI","567","1.5"," 148/194 ",
"JMIR Infodemiology","JMIR INFODEMIOL","JMIR PUBLICATIONS, INC","N/A","2564-1891","HEALTH CARE SCIENCES & SERVICES","ESCI","564","4"," 42/194 ",
"BMJ Innovations","BMJ INNOV","BMJ PUBLISHING GROUP","2055-8074","2055-642X","HEALTH CARE SCIENCES & SERVICES","ESCI","525","1.6"," 142/194 ",
"International Journal of Telemedicine and Applications","INT J TELEMED APPL","WILEY","1687-6415","1687-6423","HEALTH CARE SCIENCES & SERVICES","ESCI","516","2.2"," 111/194 ",
"Online Journal of Public Health Informatics","ONLINE J PUBLIC HLTH","JMIR PUBLICATIONS, INC","N/A","1947-2579","HEALTH CARE SCIENCES & SERVICES","ESCI","494","1.4"," 153/194 ",
"Health Care Science","HEALTH CARE SCI","WILEY","2771-1749","2771-1757","HEALTH CARE SCIENCES & SERVICES","ESCI","493","6"," 22/194 ",
"Journal of Pharmaceutical Health Services Research","J PHARM HEALTH SERV","OXFORD UNIV PRESS","1759-8885","1759-8893","HEALTH CARE SCIENCES & SERVICES","ESCI","491","1.1"," 171/194 ",
"Journal of Health Economics and Outcomes Research","J HEALTH ECON OUTCOM","COLUMBIA DATA ANALYTICS, LLC","2327-2236","2327-2236","HEALTH CARE SCIENCES & SERVICES","ESCI","477","2.5"," 94/194 ",
"BMC Digital Health","BMC DIGIT HEALTH","SPRINGERNATURE","N/A","2731-684X","HEALTH CARE SCIENCES & SERVICES","ESCI","456","3.2"," 67/194 ",
"Journal of Patient-Centered Research and Reviews","J PATIENT-CENTER RES","AURORA HEALTH CARE, INC","2330-068X","2330-0698","HEALTH CARE SCIENCES & SERVICES","ESCI","454","2.5"," 94/194 ",
"Palliative Medicine Reports","PALLIAT MED REP","SAGE PUBLICATIONS INC","2689-2820","2689-2820","HEALTH CARE SCIENCES & SERVICES","ESCI","454","1.3"," 162/194 ",
"Internet Journal of Allied Health Sciences and Practice","INTERNET J ALLIED HE","NOVA SOUTHEASTERN UNIV","1540-580X","1540-580X","HEALTH CARE SCIENCES & SERVICES","ESCI","434","0.4"," 185/194 ",
"Health Data Science","HEALTH DATA SCI","AMER ASSOC ADVANCEMENT SCIENCE","N/A","2765-8783","HEALTH CARE SCIENCES & SERVICES","ESCI","391","4.8"," 28/194 ",
"Biomedical Human Kinetics","BIOMED HUM KINET","Paradigm Publishing Services-De Gruyter Brill Sp Zoo","0043-9630","2080-2234","HEALTH CARE SCIENCES & SERVICES","ESCI","368","1.4"," 153/194 ",
"Health Policy OPEN","HEALTH POLICY OPEN","ELSEVIER","N/A","2590-2296","HEALTH CARE SCIENCES & SERVICES","ESCI","354","2.3"," 106/194 ",
"Professional Case Management","PROF CASE MANAG","LIPPINCOTT WILLIAMS & WILKINS","1932-8087","1932-8095","HEALTH CARE SCIENCES & SERVICES","ESCI","353","1.2"," 167/194 ",
"Telemedicine Reports","TELEMED REP","SAGE PUBLICATIONS INC","N/A","2692-4366","HEALTH CARE SCIENCES & SERVICES","ESCI","301","1.9"," 128/194 ",
"International Journal of Social Determinants of Health and Health Services","INT J SOC DETER HLTH","SAGE PUBLICATIONS LTD","2755-1938","2755-1946","HEALTH CARE SCIENCES & SERVICES","SCIE","287","2.2"," 111/194 ",
"Journal of Basic and Clinical Health Sciences","J BASIC CLIN HEALTH","DOKUZ EYLUL UNIV INST HEALTH SCIENCES","2458-8938","2564-7288","HEALTH CARE SCIENCES & SERVICES","ESCI","286","0.4"," 185/194 ",
"Journal of Healthcare Quality Research","J HEALTHC QUAL RES","ELSEVIER ESPANA SLU","N/A","2603-6479","HEALTH CARE SCIENCES & SERVICES","ESCI","282","1.2"," 167/194 ",
"IISE Transactions on Healthcare Systems Engineering","IISE T HEALTHC SYST","TAYLOR & FRANCIS LTD","2472-5579","2472-5587","HEALTH CARE SCIENCES & SERVICES","ESCI","266","1.5"," 148/194 ",
"African Journal of Health Professions Education","AFR J HEALTH PROF ED","HEALTH & MEDICAL PUBLISHING GROUP","2078-5127","2078-5127","HEALTH CARE SCIENCES & SERVICES","ESCI","250","0.7"," 179/194 ",
"Journal of Hospital Management and Health Policy","J HOSP MANAG HLTH P","AME PUBLISHING COMPANY","2523-2533","2523-2533","HEALTH CARE SCIENCES & SERVICES","ESCI","247","1.4"," 153/194 ",
"Journal of Patient Safety and Risk Management","J PATIENT SAF RISK M","SAGE PUBLICATIONS LTD","2516-0435","2516-0443","HEALTH CARE SCIENCES & SERVICES","ESCI","230","1"," 177/194 ",
"Human Factors in Healthcare","HUM FACTORS HEALTHC","ELSEVIER","N/A","2772-5014","HEALTH CARE SCIENCES & SERVICES","ESCI","211","1.6"," 142/194 ",
"Healthcare in Low-resource Settings","HEALTHC LOW-RESOUR S","PAGEPRESS PUBL","N/A","2281-7824","HEALTH CARE SCIENCES & SERVICES","ESCI","170","0.5"," 184/194 ",
"Journal of the Liaquat University of Medical and Health Sciences","J LIAQUAT UNIV MED H","LIAQUAT UNIV MEDICAL & HEALTH SCIENCES - LUMHS","1729-0341","1729-0341","HEALTH CARE SCIENCES & SERVICES","ESCI","162","0.2"," 192/194 ",
"Journal of Medicine Access","J MED ACCESS","SAGE PUBLICATIONS INC","2755-0834","2755-0834","HEALTH CARE SCIENCES & SERVICES","ESCI","137","2.7"," 82/194 ",
"Global & Regional Health Technology Assessment","GLOB REG HEALTH TECH","ABOUTSCIENCE SRL","2284-2403","2283-5733","HEALTH CARE SCIENCES & SERVICES","ESCI","135","0.7"," 179/194 ",
"Palliative Medicine in Practice","PALLIAT MED PRACT","VIA MEDICA","2545-0425","2545-1359","HEALTH CARE SCIENCES & SERVICES","ESCI","127","1"," 177/194 ",
"Saudi Journal of Health Systems Research","SAUDI J HEALTH SYST","KARGER","N/A","2673-6136","HEALTH CARE SCIENCES & SERVICES","ESCI","112","1.1"," 171/194 ",
"Zeitschrift fur Palliativmedizin","Z PALLIATMEDIZIN","GEORG THIEME VERLAG KG","1615-2921","1615-293X","HEALTH CARE SCIENCES & SERVICES","ESCI","111","0.7"," 179/194 ",
"Vigilancia Sanitaria em Debate-Sociedade Ciencia & Tecnologia","VIGIL SANIT DEBATE","FUNDACAO OSWALDO CRUZ, INST NACIONAL CONTROLE QUALIDADE & SAUDE","2317-269X","2317-269X","HEALTH CARE SCIENCES & SERVICES","ESCI","102","0.2"," 192/194 ",
"Health Problems of Civilization","HEALTH PROBL CIVILIZ","John Paul II University in Biala Podlaska","2353-6942","2354-0265","HEALTH CARE SCIENCES & SERVICES","ESCI","98","0.4"," 185/194 ",
"Medecine Palliative","MED PALLIAT","ELSEVIER","1636-6522","2213-0098","HEALTH CARE SCIENCES & SERVICES","ESCI","97","0.6"," 183/194 ",
"International Journal of Healthcare Technology and Management","INT J HEALTHC TECHNO","INDERSCIENCE ENTERPRISES LTD","1368-2156","1741-5144","HEALTH CARE SCIENCES & SERVICES","ESCI","95","0.4"," 185/194 ",
"Medycyna Paliatywna-Palliative Medicine","MED PALIATYWNA","TERMEDIA PUBLISHING HOUSE LTD","2081-0016","2081-2833","HEALTH CARE SCIENCES & SERVICES","ESCI","89","0.3"," 191/194 ",
"JMIR XR and Spatial Computing","JMIR XR SPAT COMPUT","JMIR PUBLICATIONS, INC","N/A","2818-3045","HEALTH CARE SCIENCES & SERVICES","ESCI","42","1.8"," 136/194 ",
"Farmeconomia-Health Economics and Therapeutic Pathways","FARMECONOMIA","SEED MEDICAL PUBLISHERS","1721-6915","2240-256X","HEALTH CARE SCIENCES & SERVICES","ESCI","32","<0.1"," 194/194 ",

Copyright (c) 2026 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
