Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom

Title,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,2025 JIF,JIF Rank
IEEE TRANSACTIONS ON VERY LARGE SCALE INTEGRATION (VLSI) SYSTEMS,IEEE T VLSI SYST,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,1063-8210,1557-9999,Multiple,SCIE,3.2,29/60
Peer-to-Peer Networking and Applications,PEER PEER NETW APPL,SPRINGER,1936-6442,1936-6450,Multiple,SCIE,3.2,130/266
SEMINARS IN NEPHROLOGY,SEMIN NEPHROL,W B SAUNDERS CO-ELSEVIER INC,0270-9295,1558-4488,UROLOGY & NEPHROLOGY,SCIE,3.2,34/134
Advanced Therapeutics,ADV THER-GERMANY,WILEY-V C H VERLAG GMBH,N/A,2366-3987,PHARMACOLOGY & PHARMACY,SCIE,3.2,156/356
American Journal of Cardiovascular Drugs,AM J CARDIOVASC DRUG,ADIS INT LTD,1175-3277,1179-187X,Multiple,SCIE,3.2,86/237
ELECTRONIC JOURNAL OF BIOTECHNOLOGY,ELECTRON J BIOTECHN,PONTIFICIA UNIV CATOLICA VALPARAISO,0717-3458,0717-3458,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,3.2,95/180
Hellenic Journal of Cardiology,HELL J CARDIOL,ELSEVIER,1109-9666,2241-5955,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,3.2,86/237
ICARUS,ICARUS,ACADEMIC PRESS INC ELSEVIER SCIENCE,0019-1035,1090-2643,ASTRONOMY & ASTROPHYSICS,SCIE,3.2,30/86
IMMUNOLOGY LETTERS,IMMUNOL LETT,ELSEVIER,0165-2478,1879-0542,IMMUNOLOGY,SCIE,3.2,103/183
Environmental Science-Atmospheres,ENVIRON SCI-ATMOS,ROYAL SOC CHEMISTRY,N/A,2634-3606,Multiple,ESCI,3.2,227/395
Frontiers of Structural and Civil Engineering,FRONT STRUCT CIV ENG,HIGHER EDUCATION PRESS,2095-2430,2095-2449,"ENGINEERING, CIVIL",SCIE,3.2,69/193
MOLECULAR AND CELLULAR PROBES,MOL CELL PROBE,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,0890-8508,1096-1194,Multiple,SCIE,3.2,34/85
Social Network Analysis and Mining,SOC NETW ANAL MIN,SPRINGER WIEN,1869-5450,1869-5469,"COMPUTER SCIENCE, INFORMATION SYSTEMS",ESCI,3.2,130/266
Vascular Health and Risk Management,VASC HEALTH RISK MAN,DOVE MEDICAL PRESS LTD,1176-6344,1178-2048,PERIPHERAL VASCULAR DISEASE,ESCI,3.2,34/100
Construction Management and Economics,CONSTR MANAG ECON,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0144-6193,1466-433X,BUSINESS,ESCI,3.2,156/323
NEUROSCIENCE RESEARCH,NEUROSCI RES,ELSEVIER IRELAND LTD,0168-0102,1872-8111,NEUROSCIENCES,SCIE,3.2,167/330
NUTRIENT CYCLING IN AGROECOSYSTEMS,NUTR CYCL AGROECOSYS,SPRINGER,1385-1314,1573-0867,SOIL SCIENCE,SCIE,3.2,25/48
OUTLOOK ON AGRICULTURE,OUTLOOK AGR,SAGE PUBLICATIONS LTD,0030-7270,2043-6866,"AGRICULTURE, MULTIDISCIPLINARY",SCIE,3.2,28/95
Annals of Gastroenterological Surgery,ANN GASTROENT SURG,WILEY-V C H VERLAG GMBH,2475-0328,2475-0328,GASTROENTEROLOGY & HEPATOLOGY,SCIE,3.2,63/153
Data-Centric Engineering,DATA-CENTRIC ENG,CAMBRIDGE UNIV PRESS,N/A,2632-6736,Multiple,ESCI,3.2,111/210
EUROPEAN JOURNAL OF CLINICAL NUTRITION,EUR J CLIN NUTR,SPRINGERNATURE,0954-3007,1476-5640,NUTRITION & DIETETICS,SCIE,3.2,55/114
Clocks & Sleep,CLOCKS SLEEP,MDPI,N/A,2624-5175,Multiple,ESCI,3.2,117/296
FATIGUE & FRACTURE OF ENGINEERING MATERIALS & STRUCTURES,FATIGUE FRACT ENG M,WILEY,8756-758X,1460-2695,Multiple,SCIE,3.2,59/184
Journal of Emerging Technologies in Accounting,J EMERG TECHNOL ACCO,AMER ACCOUNTING ASSOC,1554-1908,1558-7940,"BUSINESS, FINANCE",ESCI,3.2,69/243
Advanced Theory and Simulations,ADV THEOR SIMUL,WILEY-V C H VERLAG GMBH,N/A,2513-0390,MULTIDISCIPLINARY SCIENCES,SCIE,3.2,39/140
Blood and Lymphatic Cancer-Targets and Therapy,BLOOD LYMPHAT CANCER,DOVE MEDICAL PRESS LTD,1179-9889,1179-9889,ONCOLOGY,ESCI,3.2,161/333
Briefings in Functional Genomics,BRIEF FUNCT GENOMICS,OXFORD UNIV PRESS,2041-2649,2041-2657,Multiple,SCIE,3.2,95/180
Geotechnical and Geological Engineering,GEOTECH GEOL ENG,SPRINGER,0960-3182,1573-1529,"ENGINEERING, GEOLOGICAL",ESCI,3.2,31/68
Infectious Agents and Cancer,INFECT AGENTS CANCER,BMC,1750-9378,1750-9378,Multiple,SCIE,3.2,103/183
JOURNAL OF MATERIALS IN CIVIL ENGINEERING,J MATER CIVIL ENG,ASCE-AMER SOC CIVIL ENGINEERS,0899-1561,1943-5533,Multiple,SCIE,3.2,37/104
JOURNAL OF PHYSICS D-APPLIED PHYSICS,J PHYS D APPL PHYS,IOP Publishing Ltd,0022-3727,1361-6463,"PHYSICS, APPLIED",SCIE,3.2,86/191
E-POLYMERS,E-POLYMERS,DE GRUYTER POLAND SP Z O O,2197-4586,1618-7229,POLYMER SCIENCE,SCIE,3.2,48/96
Transplantation Reviews,TRANSPLANT REV-ORLAN,ELSEVIER SCIENCE INC,0955-470X,N/A,Multiple,SCIE,3.2,103/183
COASTAL ENGINEERING JOURNAL,COAST ENG J,TAYLOR & FRANCIS LTD,2166-4250,1793-6292,Multiple,SCIE,3.2,69/193
Journal of Thermal Science,J THERM SCI,SPRINGER,1003-2169,1993-033X,Multiple,SCIE,3.2,59/184
Plasma Processes and Polymers,PLASMA PROCESS POLYM,WILEY-V C H VERLAG GMBH,1612-8850,1612-8869,Multiple,SCIE,3.2,86/191
Vehicles,VEHICLES-BASEL,MDPI,N/A,2624-8921,Multiple,ESCI,3.2,59/184
Blue-Green Systems,BLUE-GREEN SYST,IWA PUBLISHING,N/A,2617-4782,Multiple,ESCI,3.2,227/395
Discovery Medicine,DISCOV MED,DISCOVERY MEDICINE,1539-6509,1944-7930,"MEDICINE, RESEARCH & EXPERIMENTAL",SCIE,3.2,90/191
JOURNAL OF MATERIALS SCIENCE-MATERIALS IN ELECTRONICS,J MATER SCI-MATER EL,SPRINGER,0957-4522,1573-482X,Multiple,SCIE,3.2,162/369
AMINO ACIDS,AMINO ACIDS,SPRINGER WIEN,0939-4451,1438-2199,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,3.2,185/328
Biomolecular Concepts,BIOMOL CONCEPTS,WALTER DE GRUYTER GMBH,1868-5021,1868-503X,BIOCHEMISTRY & MOLECULAR BIOLOGY,ESCI,3.2,185/328
KYBERNETES,KYBERNETES,EMERALD GROUP PUBLISHING LTD,0368-492X,1758-7883,"COMPUTER SCIENCE, CYBERNETICS",SCIE,3.2,16/34
ARCHIVUM IMMUNOLOGIAE ET THERAPIAE EXPERIMENTALIS,ARCH IMMUNOL THER EX,DE GRUYTER POLAND SP Z O O,0004-069X,1661-4917,IMMUNOLOGY,SCIE,3.2,103/183
DRYING TECHNOLOGY,DRY TECHNOL,TAYLOR & FRANCIS INC,0737-3937,1532-2300,Multiple,SCIE,3.2,100/183
IUBMB LIFE,IUBMB LIFE,WILEY,1521-6543,1521-6551,Multiple,SCIE,3.2,185/328
JOURNAL OF TEXTURE STUDIES,J TEXTURE STUD,WILEY,0022-4901,1745-4603,FOOD SCIENCE & TECHNOLOGY,SCIE,3.2,97/187
SEMINARS IN RESPIRATORY AND CRITICAL CARE MEDICINE,SEMIN RESP CRIT CARE,THIEME MEDICAL PUBL INC,1069-3424,1098-9048,Multiple,SCIE,3.2,24/66
Critical Care and Resuscitation,CRIT CARE RESUSC,ELSEVIER,1441-2772,1441-2772,CRITICAL CARE MEDICINE,SCIE,3.2,24/66
CURRENT MEDICINAL CHEMISTRY,CURR MED CHEM,BENTHAM SCIENCE PUBL LTD,0929-8673,1875-533X,Multiple,SCIE,3.2,185/328
Journal of Indian Business Research,J INDIAN BUS RES,EMERALD GROUP PUBLISHING LTD,1755-4195,1755-4209,BUSINESS,ESCI,3.2,156/323
Public Transport,PUBLIC TRANSPORT,SPRINGER HEIDELBERG,1866-749X,1613-7159,TRANSPORTATION SCIENCE & TECHNOLOGY,ESCI,3.2,40/80
Advanced Optical Technologies,ADV OPT TECHNOL,FRONTIERS MEDIA SA,2192-8576,2192-8584,OPTICS,ESCI,3.2,51/129
CURRENT PHARMACEUTICAL DESIGN,CURR PHARM DESIGN,BENTHAM SCIENCE PUBL LTD,1381-6128,1873-4286,PHARMACOLOGY & PHARMACY,SCIE,3.2,156/356
MOLECULAR BIOLOGY REPORTS,MOL BIOL REP,SPRINGER,0301-4851,1573-4978,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,3.2,185/328
MOLECULAR BIOTECHNOLOGY,MOL BIOTECHNOL,SPRINGERNATURE,1073-6085,1559-0305,Multiple,SCIE,3.2,185/328
SN Applied Sciences,SN APPL SCI,SPRINGER INT PUBL AG,2523-3963,2523-3971,MULTIDISCIPLINARY SCIENCES,ESCI,3.2,39/140
IET Renewable Power Generation,IET RENEW POWER GEN,WILEY,1752-1416,1752-1424,Multiple,SCIE,3.2,135/191
METROLOGIA,METROLOGIA,IOP Publishing Ltd,0026-1394,1681-7575,Multiple,SCIE,3.2,34/81
Organics,ORGANICS,MDPI,N/A,2673-401X,"CHEMISTRY, ORGANIC",ESCI,3.2,15/58
Advances in Production Engineering & Management,ADV PROD ENG MANAG,"UNIV MARIBOR, FAC MECHANICAL ENGINEERING",1854-6250,1855-6531,Multiple,SCIE,3.2,44/71
CHEMISTRY AND ECOLOGY,CHEM ECOL,TAYLOR & FRANCIS LTD,0275-7540,1029-0370,Multiple,SCIE,3.2,67/205
Journal of Building Performance Simulation,J BUILD PERFORM SIMU,TAYLOR & FRANCIS LTD,1940-1493,1940-1507,CONSTRUCTION & BUILDING TECHNOLOGY,SCIE,3.2,37/104
MACHINING SCIENCE AND TECHNOLOGY,MACH SCI TECHNOL,TAYLOR & FRANCIS INC,1091-0344,1532-2483,Multiple,SCIE,3.2,44/71
PHYSICA B-CONDENSED MATTER,PHYSICA B,ELSEVIER,0921-4526,1873-2135,"PHYSICS, CONDENSED MATTER",SCIE,3.2,36/81
Cardiology in Review,CARDIOL REV,LIPPINCOTT WILLIAMS & WILKINS,1061-5377,1538-4683,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,3.2,86/237
Healthcare Informatics Research,HEALTHC INFORM RES,KOREAN SOC MEDICAL INFORMATICS,2093-3681,2093-369X,MEDICAL INFORMATICS,ESCI,3.2,32/54
Electrocatalysis,ELECTROCATALYSIS-US,SPRINGER,1868-2529,1868-5994,Multiple,SCIE,3.2,111/191
Molecular Systems Design & Engineering,MOL SYST DES ENG,ROYAL SOC CHEMISTRY,2058-9689,2058-9689,Multiple,SCIE,3.2,111/191
International Journal of Polymeric Materials and Polymeric Biomaterials,INT J POLYM MATER PO,TAYLOR & FRANCIS LTD,0091-4037,1563-535X,Multiple,SCIE,3.2,38/58
Journal of Organization Design,J ORGAN DES,SPRINGERNATURE,N/A,2245-408X,Multiple,ESCI,3.2,156/323
Chemistry-An Asian Journal,CHEM-ASIAN J,WILEY-V C H VERLAG GMBH,1861-4728,1861-471X,"CHEMISTRY, MULTIDISCIPLINARY",SCIE,3.2,121/250
Advanced Biology,ADV BIOL-GER,WILEY-V C H VERLAG GMBH,2701-0198,2701-0198,"MATERIALS SCIENCE, BIOMATERIALS",SCIE,3.2,38/58
Applied Catalysis O: Open,APPL CATAL O-OPEN,ELSEVIER,N/A,2950-6484,"CHEMISTRY, PHYSICAL",SCIE,3.2,111/191
Greenhouse Gases-Science and Technology,GREENH GASES,WILEY,2152-3878,2152-3878,Multiple,SCIE,3.2,135/191
Kunstliche Intelligenz,KUNSTL INTELL,SPRINGER HEIDELBERG,0933-1875,1610-1987,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",ESCI,3.2,111/210
COLUMBIA LAW REVIEW,COLUMBIA LAW REV,COLUMBIA JOURNAL TRANSNATIONAL LAW ASSOC,0010-1958,1945-2268,LAW,SSCI,3.1,18/443
BRITISH JOURNAL FOR THE PHILOSOPHY OF SCIENCE,BRIT J PHILOS SCI,UNIV CHICAGO PRESS,0007-0882,1464-3537,HISTORY & PHILOSOPHY OF SCIENCE,"AHCI, SCIE, SSCI",3.1,7/111
International Journal of Architectural Computing,INT J ARCHIT COMPUT,SAGE PUBLICATIONS LTD,1478-0771,2048-3988,ARCHITECTURE,ESCI,3.1,N/A
Journal of Contemporary China,J CONTEMP CHINA,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1067-0564,1469-9400,AREA STUDIES,SSCI,3.1,8/184
Yale Journal on Regulation,YALE J REGUL,YALE JOURNAL ON REGULATION,0741-9457,2376-5925,LAW,SSCI,3.1,18/443
ACM Journal on Computing and Cultural Heritage,ACM J COMPUT CULT HE,ASSOC COMPUTING MACHINERY,1556-4673,1556-4711,Multiple,SCIE,3.1,99/185
JOURNAL OF THE EUROPEAN MATHEMATICAL SOCIETY,J EUR MATH SOC,EUROPEAN MATHEMATICAL SOC-EMS,1435-9855,1435-9863,Multiple,SCIE,3.1,13/492
Medical Law Review,MED LAW REV,OXFORD UNIV PRESS,0967-0742,1464-3790,Multiple,SSCI,3.1,18/443
Language and Education,LANG EDUC-UK,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0950-0782,1747-7581,Multiple,SSCI,3.1,121/760
PERSPECTIVES ON SEXUAL AND REPRODUCTIVE HEALTH,PERSPECT SEX REPRO H,WILEY,1538-6341,1931-2393,Multiple,SSCI,3.1,7/51
REVIEW OF INTERNATIONAL STUDIES,REV INT STUD,CAMBRIDGE UNIV PRESS,0260-2105,1469-9044,INTERNATIONAL RELATIONS,SSCI,3.1,27/173
International Journal of Optimization and Control-Theories & Applications-IJOCTA,INT J OPTIMIZ CONTRO,Accscience Publishing,2146-0957,2146-5703,"MATHEMATICS, APPLIED",ESCI,3.1,20/345
Fractional Calculus and Applied Analysis,FRACT CALC APPL ANAL,SPRINGERNATURE,1311-0454,1314-2224,Multiple,SCIE,3.1,13/492
World Trade Review,WORLD TRADE REV,CAMBRIDGE UNIV PRESS,1474-7456,1475-3138,Multiple,SSCI,3.1,135/626
SOCIAL SCIENCE RESEARCH,SOC SCI RES,ACADEMIC PRESS INC ELSEVIER SCIENCE,0049-089X,1096-0317,SOCIOLOGY,SSCI,3.1,27/222
Journal of Responsible Innovation,J RESPONSIBLE INNOV,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2329-9460,2329-9037,Multiple,SSCI,3.1,16/78
EMS Surveys in Mathematical Sciences,EMS SURV MATH SCI,EUROPEAN MATHEMATICAL SOC-EMS,2308-2151,2308-216X,MATHEMATICS,ESCI,3.1,13/492
BMC Veterinary Research,BMC VET RES,BMC,N/A,1746-6148,VETERINARY SCIENCES,SCIE,3.1,17/170
Media and Communication,MEDIA COMMUN-LISBON,COGITATIO PRESS,2183-2439,2183-2439,COMMUNICATION,SSCI,3.1,37/227
BMC EMERGENCY MEDICINE,BMC EMERG MED,BMC,1471-227X,1471-227X,EMERGENCY MEDICINE,SCIE,3.1,14/55
CHILD MALTREATMENT,CHILD MALTREATMENT,SAGE PUBLICATIONS INC,1077-5595,1552-6119,Multiple,SSCI,3.1,6/66
FUZZY SETS AND SYSTEMS,FUZZY SET SYST,ELSEVIER,0165-0114,1872-6801,Multiple,SCIE,3.1,45/146
Scandinavian Journal of Hospitality and Tourism,SCAND J HOSP TOUR,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1502-2250,1502-2269,Multiple,SSCI,3.1,47/141
Archives of Physiotherapy,ARCH PHYSIOTHER,ABOUTSCIENCE SRL,N/A,2057-0082,REHABILITATION,ESCI,3.1,19/175
PSYCHOLOGICAL ASSESSMENT,PSYCHOL ASSESSMENT,AMER PSYCHOLOGICAL ASSOC,1040-3590,1939-134X,"PSYCHOLOGY, CLINICAL",SSCI,3.1,43/184
Frontiers in Veterinary Science,FRONT VET SCI,FRONTIERS MEDIA SA,N/A,2297-1769,VETERINARY SCIENCES,SCIE,3.1,17/170
EXPERIMENTAL EYE RESEARCH,EXP EYE RES,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,0014-4835,1096-0007,OPHTHALMOLOGY,SCIE,3.1,25/98
Policy Studies,POLICY STUD-UK,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0144-2872,1470-1006,Multiple,SSCI,3.1,62/332
Consumption and Society,CONSUM SOC,BRISTOL UNIV PRESS & POLICY PRESS,N/A,2752-8499,Multiple,ESCI,3.1,104/202
RESEARCH IN SCIENCE EDUCATION,RES SCI EDUC,SPRINGER,0157-244X,1573-1898,EDUCATION & EDUCATIONAL RESEARCH,SSCI,3.1,121/760
Journal of Periodontal and Implant Science,J PERIODONTAL IMPLAN,KOREAN ACAD PERIODONTOLOGY,2093-2278,2093-2286,"DENTISTRY, ORAL SURGERY & MEDICINE",SCIE,3.1,41/165
BMC Pregnancy and Childbirth,BMC PREGNANCY CHILDB,BMC,N/A,1471-2393,OBSTETRICS & GYNECOLOGY,SCIE,3.1,33/143
DISEASES OF THE COLON & RECTUM,DIS COLON RECTUM,LIPPINCOTT WILLIAMS & WILKINS,0012-3706,1530-0358,Multiple,SCIE,3.1,65/153
JAACAP Open,JAACAP OPEN,ELSEVIER,N/A,2949-7329,Multiple,ESCI,3.1,30/190
JOURNAL OF SPORTS SCIENCES,J SPORT SCI,TAYLOR & FRANCIS LTD,0264-0414,1466-447X,SPORT SCIENCES,SCIE,3.1,35/136
Online Learning,ONLINE LEARN,ONLINE LEARNING CONSORTIUM,2472-5749,2472-5730,EDUCATION & EDUCATIONAL RESEARCH,ESCI,3.1,121/760
Physiotherapy,PHYSIOTHERAPY,ELSEVIER SCI LTD,0031-9406,1873-1465,REHABILITATION,SCIE,3.1,19/175
Journal of Management Education,J MANAG EDUC,SAGE PUBLICATIONS INC,1052-5629,1552-6658,EDUCATION & EDUCATIONAL RESEARCH,ESCI,3.1,121/760
BDJ Open,BDJ OPEN,SPRINGERNATURE,N/A,2056-807X,"DENTISTRY, ORAL SURGERY & MEDICINE",ESCI,3.1,41/165
Technological and Economic Development of Economy,TECHNOL ECON DEV ECO,VILNIUS GEDIMINAS TECH UNIV,2029-4913,2029-4921,ECONOMICS,SSCI,3.1,135/626
Nursing Open,NURS OPEN,WILEY,2054-1058,2054-1058,NURSING,"SCIE, SSCI",3.1,28/194
Nursing Reports,NURS REP,MDPI,2039-439X,2039-4403,NURSING,ESCI,3.1,28/194
Journal of Addiction Medicine,J ADDICT MED,LIPPINCOTT WILLIAMS & WILKINS,1932-0620,1935-3227,SUBSTANCE ABUSE,SCIE,3.1,16/61
Games for Health Journal,GAMES HEALTH J,SAGE PUBLICATIONS INC,2161-783X,2161-7856,Multiple,SSCI,3.1,128/443
MUTAGENESIS,MUTAGENESIS,OXFORD UNIV PRESS,0267-8357,1464-3804,Multiple,SCIE,3.1,74/192
EPJ Data Science,EPJ DATA SCI,SPRINGER,N/A,2193-1127,Multiple,SCIE,3.1,29/137
Journal of Contextual Behavioral Science,J CONTEXT BEHAV SCI,ELSEVIER,2212-1447,2212-1455,"PSYCHOLOGY, CLINICAL",SSCI,3.1,43/184
TISSUE & CELL,TISSUE CELL,CHURCHILL LIVINGSTONE,0040-8166,N/A,Multiple,SCIE,3.1,1/25
Advances in Kidney Disease and Health,ADV KIDNEY DIS HEAL,W B SAUNDERS CO-ELSEVIER INC,2949-8147,2949-8139,UROLOGY & NEPHROLOGY,SCIE,3.1,38/134
Economic Systems,ECON SYST,ELSEVIER,0939-3625,1878-5433,ECONOMICS,SSCI,3.1,135/626
PATIENT EDUCATION AND COUNSELING,PATIENT EDUC COUNS,ELSEVIER IRELAND LTD,0738-3991,1873-5134,Multiple,SCIE,3.1,128/443
Journal of Vascular Surgery-Venous and Lymphatic Disorders,J VASC SURG-VENOUS L,ELSEVIER,2213-333X,2213-333X,Multiple,SCIE,3.1,36/100
LGBT Health,LGBT HEALTH,SAGE PUBLICATIONS INC,2325-8292,2325-8306,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI",3.1,128/443
Global Spine Journal,GLOB SPINE J,SAGE PUBLICATIONS LTD,2192-5682,2192-5690,Multiple,SCIE,3.1,127/296
JMIR Rehabilitation and Assistive Technologies,JMIR REHABIL ASSIST,"JMIR PUBLICATIONS, INC",N/A,2369-2529,Multiple,ESCI,3.1,69/194
Journal of Imaging Informatics in Medicine,J IMAGING INFORM MED,SPRINGER,2948-2925,2948-2933,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",SCIE,3.1,70/217
PLACENTA,PLACENTA,W B SAUNDERS CO LTD,0143-4004,1532-3102,Multiple,SCIE,3.1,11/39
Methodology-European Journal of Research Methods for the Behavioral and Social Sciences,METHODOLOGY-EUR,PSYCHOPEN,1614-1881,1614-2241,Multiple,SSCI,3.1,3/13
ORAL DISEASES,ORAL DIS,WILEY,1354-523X,1601-0825,"DENTISTRY, ORAL SURGERY & MEDICINE",SCIE,3.1,41/165
GEOGRAPHICAL JOURNAL,GEOGR J,WILEY,0016-7398,1475-4959,GEOGRAPHY,SSCI,3.1,36/174
JOURNAL OF MEDICAL ECONOMICS,J MED ECON,TAYLOR & FRANCIS LTD,1369-6998,1941-837X,Multiple,SCIE,3.1,69/194
JOURNAL OF PHYSICS G-NUCLEAR AND PARTICLE PHYSICS,J PHYS G NUCL PARTIC,IOP Publishing Ltd,0954-3899,1361-6471,Multiple,SCIE,3.1,7/22
BRITISH JOURNAL OF HEALTH PSYCHOLOGY,BRIT J HEALTH PSYCH,WILEY,1359-107X,2044-8287,"PSYCHOLOGY, CLINICAL",SSCI,3.1,43/184
Journal of Optometry,J OPTOM,ELSEVIER,1888-4296,1989-1342,OPHTHALMOLOGY,ESCI,3.1,25/98
European Journal of Health Economics,EUR J HEALTH ECON,SPRINGER,1618-7598,1618-7601,Multiple,SSCI,3.1,135/626
INTELLIGENCE,INTELLIGENCE,ELSEVIER SCIENCE INC,0160-2896,1873-7935,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,3.1,51/222
Cognition,COGNITION,ELSEVIER,0010-0277,1873-7838,"PSYCHOLOGY, EXPERIMENTAL",SSCI,3.1,26/104
Psychological Injury & Law,PSYCHOL INJ LAW,SPRINGER,1938-971X,1938-9728,"PSYCHOLOGY, CLINICAL",ESCI,3.1,43/184
QUALITATIVE HEALTH RESEARCH,QUAL HEALTH RES,SAGE PUBLICATIONS INC,1049-7323,1552-7557,Multiple,SSCI,3.1,49/172
CURRENT OPINION IN OPHTHALMOLOGY,CURR OPIN OPHTHALMOL,LIPPINCOTT WILLIAMS & WILKINS,1040-8738,1531-7021,OPHTHALMOLOGY,SCIE,3.1,25/98
INTERNATIONAL JOURNAL OF ROBUST AND NONLINEAR CONTROL,INT J ROBUST NONLIN,WILEY,1049-8923,1099-1239,Multiple,SCIE,3.1,33/88
Human Genetics and Genomics Advances,HUM GENET GENOM ADV,CELL PRESS,2666-2477,2666-2477,GENETICS & HEREDITY,ESCI,3.1,74/192
Mental Health and Physical Activity,MENT HEALTH PHYS ACT,ELSEVIER SCI LTD,1755-2966,1878-0199,Multiple,SSCI,3.1,108/293
NUCLEAR MEDICINE AND BIOLOGY,NUCL MED BIOL,ELSEVIER SCIENCE INC,0969-8051,1872-9614,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",SCIE,3.1,70/217
Forests,FORESTS,MDPI,N/A,1999-4907,FORESTRY,SCIE,3.1,24/92
Career Development International,CAREER DEV INT,EMERALD GROUP PUBLISHING LTD,1362-0436,1758-6003,Multiple,SSCI,3.1,204/426
JOURNAL OF ENVIRONMENTAL EDUCATION,J ENVIRON EDUC,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0095-8964,1940-1892,Multiple,SSCI,3.1,121/760
Frontiers in Network Physiology,FRONT NETW PHYSIOL,FRONTIERS MEDIA SA,N/A,2674-0109,PHYSIOLOGY,ESCI,3.1,31/89
Infectious Disease Modelling,INFECT DIS MODEL,KEAI PUBLISHING LTD,2468-2152,2468-0427,Multiple,ESCI,3.1,59/141
JOURNAL OF PEDIATRIC GASTROENTEROLOGY AND NUTRITION,J PEDIATR GASTR NUTR,WILEY,0277-2116,1536-4801,Multiple,SCIE,3.1,65/153
Ultrasound International Open,ULTRASOUND INT OPEN,GEORG THIEME VERLAG KG,2509-596X,2199-7152,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",ESCI,3.1,70/217
Life Science Alliance,LIFE SCI ALLIANCE,LIFE SCIENCE ALLIANCE LLC,N/A,2575-1077,BIOLOGY,SCIE,3.1,29/106
Rheumatology and Therapy,RHEUMATOL THER,SPRINGER,2198-6576,2198-6584,RHEUMATOLOGY,SCIE,3.1,22/58
Journal of Public Budgeting Accounting & Financial Management,J PUBLIC BUDGET ACC,EMERALD GROUP PUBLISHING LTD,1096-3367,1945-1814,Multiple,ESCI,3.1,70/243
Resuscitation Plus,RESUSC PLUS,ELSEVIER,2666-5204,2666-5204,Multiple,ESCI,3.1,26/66
Sports Medicine and Health Science,SPORTS MED HLTH SCI,KEAI PUBLISHING LTD,2097-6291,2666-3376,SPORT SCIENCES,ESCI,3.1,35/136
3D Printing in Medicine,3D PRINT MED,SPRINGERNATURE,N/A,2365-6271,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",ESCI,3.1,70/217
Applied Health Economics and Health Policy,APPL HEALTH ECON HEA,SPRINGER INT PUBL AG,1175-5652,1179-1896,Multiple,SSCI,3.1,135/626
JOURNAL OF MOLECULAR GRAPHICS & MODELLING,J MOL GRAPH MODEL,ELSEVIER SCIENCE INC,1093-3263,1873-4243,Multiple,SCIE,3.1,36/85
Laboratory Animal Research,LAB ANIM RES,SPRINGERNATURE,1738-6055,2233-7660,Multiple,ESCI,3.1,92/191
Journal of Cognition,J COGNITION,UBIQUITY PRESS LTD,2514-4820,2514-4820,"PSYCHOLOGY, EXPERIMENTAL",ESCI,3.1,26/104
Computational Toxicology,COMPUT TOXICOL,ELSEVIER,2468-1113,2468-1113,TOXICOLOGY,ESCI,3.1,52/106
Egyptian Journal of Aquatic Research,EGYPT J AQUATIC RES,ELSEVIER,1687-4285,2090-3278,MARINE & FRESHWATER BIOLOGY,ESCI,3.1,24/124
FISHERIES,FISHERIES,OXFORD UNIV PRESS,0363-2415,1548-8446,FISHERIES,SCIE,3.1,17/63
Journal of the Association of Environmental and Resource Economists,J ASSOC ENVIRON RESO,UNIV CHICAGO PRESS,2333-5955,2333-5963,Multiple,SSCI,3.1,135/626
URBAN GEOGRAPHY,URBAN GEOGR,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0272-3638,1938-2847,Multiple,SSCI,3.1,36/174
Journal of Psychiatric and Mental Health Nursing,J PSYCHIATR MENT HLT,WILEY,1351-0126,1365-2850,Multiple,"SCIE, SSCI",3.1,28/194
